Customer_ID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Cluster,Segment
AA-10315,185,5,5563.56,2,2,5,225,1,Loyal
AA-10375,20,9,1056.39,5,5,2,552,0,High Value
AA-10480,260,4,1790.5120000000002,1,1,3,113,1,Loyal
AA-10645,56,6,5086.935,3,3,5,335,0,High Value
AB-10015,416,3,886.156,1,1,1,111,3,Regular
AB-10060,55,8,7755.62,3,4,5,345,2,At Risk
AB-10105,42,10,14473.570999999998,4,5,5,455,2,At Risk
AB-10150,42,5,966.71,4,2,2,422,1,Loyal
AB-10165,26,8,1113.838,5,4,2,542,0,High Value
AB-10255,167,9,914.532,2,5,1,251,0,High Value
AB-10600,51,4,1515.862,4,1,2,412,1,Loyal
AC-10420,233,3,925.8,1,1,1,111,1,Loyal
AC-10450,12,7,5527.846,5,3,5,535,0,High Value
AC-10615,7,5,2537.686,5,2,3,523,1,Loyal
AC-10660,283,5,657.316,1,2,1,121,1,Loyal
AD-10180,30,8,6106.88,4,4,5,445,0,High Value
AF-10870,42,7,2052.908,4,3,3,433,0,High Value
AF-10885,416,4,861.565,1,1,1,111,3,Regular
AG-10270,279,5,2582.898,1,2,3,123,1,Loyal
AG-10300,119,4,367.548,2,1,1,211,1,Loyal
AG-10330,9,5,660.972,5,2,1,521,1,Loyal
AG-10390,115,5,200.945,2,2,1,221,1,Loyal
AG-10495,79,8,2356.855,3,4,3,343,0,High Value
AG-10525,846,4,1455.038,1,1,2,112,3,Regular
AG-10675,98,7,3489.0396000000005,3,3,4,334,0,High Value
AG-10765,78,4,170.584,3,1,1,311,1,Loyal
AG-10900,97,10,4510.797,3,5,5,355,0,High Value
AH-10030,13,7,1744.7,5,3,3,533,0,High Value
AH-10075,35,10,3250.337,4,5,4,454,0,High Value
AH-10120,61,7,1735.514,3,3,2,332,0,High Value
AH-10195,56,4,1587.452,3,1,2,312,1,Loyal
AH-10210,7,9,4805.344,5,5,5,555,0,High Value
AH-10465,231,5,2495.3916,1,2,3,123,1,Loyal
AH-10585,22,4,738.504,5,1,1,511,1,Loyal
AH-10690,411,12,7888.294,1,5,5,155,2,At Risk
AI-10855,14,10,4375.786,5,5,5,555,0,High Value
AJ-10780,76,7,4867.344,3,3,5,335,0,High Value
AJ-10795,167,7,4501.391,2,3,5,235,0,High Value
AJ-10945,86,7,1839.24,3,3,3,333,0,High Value
AJ-10960,75,3,629.2479999999999,3,1,1,311,1,Loyal
AM-10360,29,5,814.012,4,2,1,421,1,Loyal
AM-10705,163,8,5664.022,2,4,5,245,0,High Value
AO-10810,502,1,161.28,1,1,1,111,3,Regular
AP-10720,42,8,1638.554,4,4,2,442,0,High Value
AP-10915,99,10,3323.556,3,5,4,354,0,High Value
AR-10345,112,4,1055.694,2,1,2,212,1,Loyal
AR-10405,126,5,2236.128,2,2,3,223,1,Loyal
AR-10510,15,5,264.86400000000003,5,2,1,521,1,Loyal
AR-10540,7,6,6608.448,5,3,5,535,2,At Risk
AR-10570,535,1,88.15,1,1,1,111,3,Regular
AR-10825,59,8,4523.336,3,4,5,345,0,High Value
AS-10045,89,7,3050.692,3,3,4,334,0,High Value
AS-10090,29,9,3255.31,4,5,4,454,0,High Value
AS-10135,42,2,58.82,4,1,1,411,1,Loyal
AS-10225,23,5,4260.784,5,2,4,524,1,Loyal
AS-10240,193,7,584.6080000000001,2,3,1,231,1,Loyal
AS-10285,20,6,3214.236,5,3,4,534,1,Loyal
AS-10630,93,7,833.398,3,3,1,331,1,Loyal
AT-10435,22,6,1171.814,5,3,2,532,1,Loyal
AT-10735,14,10,3831.864,5,5,4,554,0,High Value
